[10/1/2023 12:16:17 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.116
[10/1/2023 12:16:17 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.116
[10/1/2023 12:16:17 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.100
[10/1/2023 12:16:17 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.100
[10/1/2023 12:16:17 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.100
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.118
[10/1/2023 12:16:18 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.118
[10/1/2023 12:16:20 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.100
[10/1/2023 12:16:20 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.100
[10/1/2023 12:16:23 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.100
[10/1/2023 12:16:23 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.100
[10/1/2023 12:16:23 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.100
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.105
[10/1/2023 12:16:28 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.105
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.0
[10/1/2023 12:16:33 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.2
