[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.100
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.100
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.100
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.100
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.108
[02/11/2023 12:39:14] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.102
[02/11/2023 12:39:15] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.102
[02/11/2023 12:39:20] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.102
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.102
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.112
[02/11/2023 12:39:22] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.112
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.0
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.7
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.6
[02/11/2023 12:39:28] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.0
